id,suburb,area,station_count,station_count_by_area
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.49,JINDIVICK,0.007528302513345738,2,265.664138290739
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.50,GREENS CREEK,0.01999853472296259,1,50.00366346099278
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.51,MURRAYVILLE,0.05191527873540686,14,269.67013066332294
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.52,EDENHOPE,0.05052894796101035,13,257.2782637396525
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.53,WARRACKNABEAL,0.02910219727146648,16,549.786665616735
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.54,DARTMOOR,0.029388761816623886,10,340.2661215330091
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.55,DANDONGADALE,0.03041709965659777,3,98.62873297813819
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.56,GELANTIPY,0.02509736275352203,3,119.53447178743893
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.57,LINGA,0.026342107300414985,2,75.92407005222748
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.58,BOINKA,0.027327097610697248,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.59,TENBY POINT,0.00011960598290093442,2,16721.57154259191
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.60,CORONET BAY,0.0005152266541862677,3,5822.680126551494
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.61,CORINELLA,0.0015846315651836414,5,3155.3075868588767
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.62,CROYDON SOUTH,0.00026619896802032404,4,15026.354270819727
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.63,BANKSIA PENINSULA,0.0001631961328199921,1,6127.596179641191
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.64,GEORGES CREEK,0.004842825585419935,2,412.9820421411221
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.65,PASCOE VALE,0.0005022345011817986,9,17919.915853694376
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.66,KULWIN,0.04916486836461177,8,162.71781591422496
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.67,WALPEUP,0.04574497488976329,10,218.60324601987654
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.68,WYCHEPROOF,0.022010192462324808,12,545.201956799814
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.69,MARENGO,0.0002800482193368979,8,28566.50907812416
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.70,CAPE OTWAY,0.008541293384419044,1,117.07828720931091
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.71,WATTLE HILL,0.0012046590001204688,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.72,GELLIBRAND LOWER,0.005005225933257574,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.73,PRINCETOWN,0.01244785371762153,5,401.67567143899356
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.74,PETERBOROUGH,0.004130743348343607,3,726.261533823682
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.75,SCOTSBURN,0.0030445076075955517,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.76,REEDY CREEK,0.003922498825832483,3,764.8185845825719
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.77,JUNGABURRA,0.0019498979527774326,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.78,BARJARG,0.008841599103334168,2,226.20342503945918
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.79,KEYSBOROUGH,0.002234014858846295,59,26409.85119967786
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.80,FUMINA,0.0014851827476957333,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.81,SURREY HILLS,0.0004532077156077639,14,30890.912748971226
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.82,LAHARUM,0.022182116070395486,4,180.325447189344
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.83,WATCHUPGA,0.011896990057379559,3,252.16462193638097
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.84,NAREEN,0.022155221791598477,3,135.40825852339856
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.85,HOTSPUR,0.02210288956053246,5,226.2147664587774
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.86,PIONEER BAY,2.2584704366045954e-05,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.87,LANG LANG,0.009755858088851486,14,1435.035224220667
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.88,ANDERSON,0.000602189962918984,3,4981.816677013607
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.89,BASS,0.004978457798302175,2,401.73083332795727
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.90,BANGHOLME,0.0024242761244583767,13,5362.4254551054555
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.91,TANJIL BREN,0.00812898662707425,1,123.01656354919061
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.92,DUVERNEY,0.005228632385092149,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.93,LASCELLES,0.031575689489583496,3,95.00980179671674
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.94,GRAMPIANS,0.03204313279515313,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.95,MARYSVILLE,0.020003806434809996,26,1299.7526288174643
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.96,BENALLA,0.031747725957464494,56,1763.905864471321
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.97,LONGFORD,0.032274218852577786,21,650.6741525154745
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.98,HEXHAM,0.022878044414569407,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.99,PENSHURST,0.03244322295505534,18,554.8154085966116
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.100,GLENTHOMPSON,0.03222698828516996,13,403.3886097256649
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.101,BURNLEY,0.00011118829999671979,11,98931.27244795105
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.102,WINDSOR,0.00010856216644426434,31,285550.6758509223
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.103,ESSENDON WEST,0.0001034171710702717,3,29008.722332595116
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.104,TETOORA ROAD,0.0008761343661653357,1,1141.3774400572818
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.105,GLENDONALD,0.0013545530040306537,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.106,BALMATTUM,0.009088257165484824,3,330.0962929826999
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.107,WOOMELANG,0.02266253684713553,9,397.13118000457087
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.108,PATCHEWOLLOCK,0.11357147837506759,2,17.610055170674446
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.109,KANIVA,0.10477808812794309,18,171.7916438599304
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.110,KOOREH,0.008812211699142173,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.111,NHILL,0.09459653894549674,19,200.8530144104653
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.112,DARTMOUTH,0.0944649293838954,9,95.27345289620617
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.113,TELOPEA DOWNS,0.08817726053180074,4,45.363169323653665
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.114,DIGGORA,0.016452118271743796,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.115,GLENISLA,0.036902173177389405,7,189.69072543101663
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.116,LILLIMUR,0.036421538182975416,3,82.36884408693906
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.117,WULGULMERANG WEST,0.036996813818043726,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.118,SWAN ISLAND,0.0004294843001086639,2,4656.747637792533
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.119,KYVALLEY,0.0026219566847949126,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.120,BRANXHOLME,0.028899468174642635,10,346.02712892738754
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.121,BORNES HILL,0.024494344158976125,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.122,TANJIL,0.02470707388539685,2,80.9484769130068
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.123,GLEN VALLEY,0.028993264357375394,4,137.9630782755398
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.124,SWIFTS CREEK,0.029105595623896252,7,240.5035818697648
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.125,ROCKLANDS,0.027329532984526766,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.126,WOOLSTHORPE,0.02542009235431586,3,118.01688043397905
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.127,ZUMSTEINS,0.024858641060355572,2,80.45492089226025
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.128,HALLORA,0.002223681080206511,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.129,MORNINGTON,0.0021942838863591822,53,24153.665954289576
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.130,WAITCHIE,0.030461225398212364,1,32.828620218892624
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.131,FERNSHAW,0.006684996724613491,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.132,DOUGLAS,0.021772280943260128,5,229.64980164596903
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.133,LANGKOOP,0.021729854291537266,3,138.05891009441126
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.134,WENSLEYDALE,0.008583699134058417,8,931.9991154230447
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.135,SERVICETON,0.04320019627098046,3,69.44412893825755
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.136,RUPANYUP,0.043337034181311074,11,253.82447617386117
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.137,BUCHAN SOUTH,0.04390076968270595,4,91.1145756420699
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.138,NETHERBY,0.042313602179388364,3,70.89918715219542
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.139,MACARTHUR,0.03068171849251456,15,488.8904773590032
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.140,MARRAWEENEY,0.0043241215009726395,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.141,LISMORE,0.02529828792505807,13,513.8687660805473
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.142,LICOLA,0.025150116081278668,7,278.3287352383508
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.143,YAAPEET,0.03976064517825654,5,125.7524866003506
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.144,COWANGIE,0.042892605955681846,2,46.62808321943578
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.145,NARBETHONG,0.016038404934852757,3,187.0510198605072
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.146,BOLWARRAH,0.0022204103671181713,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.147,SKENES CREEK,0.0007438088249930677,2,2688.8629615528425
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.148,MAFEKING,0.02391649810639626,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.149,CHURCHILL ISLAND,5.7896814541096e-05,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.150,MASSEY,0.010606401934381567,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.151,PRINCES HILL,4.475264256187794e-05,3,67035.14760836755
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.152,SUNSET STRIP,4.407767303671626e-05,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.153,EUREKA,4.300826651279241e-05,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.154,WIMBLEDON HEIGHTS,3.861545423943922e-05,1,25896.36765113247
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.155,RIPPONLEA,2.9214973217033734e-05,3,102687.07000733637
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.156,GARDENVALE,2.6509870073724182e-05,5,188608.99680364167
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.157,EGANSTOWN,0.0026718443680397402,2,748.546593478177
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.158,WIRRATE,0.0064638987431457065,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.159,BLACKHEATH,0.004752268001471676,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.160,NATIMUK,0.015880708447994992,7,440.7863807161437
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.161,DUCHEMBEGARRA,0.014401769859544505,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.162,LALOR,0.0009491979085646549,14,14749.295034973611
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.163,KERGUNYAH SOUTH,0.0029956587656679175,2,667.6327834535841
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.164,DEDERANG,0.007736926680086975,3,387.75086336559093
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.165,UPPER GUNDOWRING,0.006866611362012424,3,436.89672268284284
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.166,NAYOOK,0.001090042520324402,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.167,GENTLE ANNIE,0.019591401961742038,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.168,CURLEWIS,0.002073046878413987,4,1929.5270365811768
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.169,WANDANA HEIGHTS,0.0002673603238312048,12,44883.24904773857
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.170,WARANGA SHORES,0.011823761791522605,1,84.57545218113067
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.171,WATERFORD PARK,1.926175624578885e-05,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.172,SANDHURST,0.00032571608725028413,4,12280.633829812503
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.173,NELSON,0.023128821123105856,5,216.1804950363408
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.174,TOWANINNY SOUTH,0.007029674836427748,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.175,MOUNT RICHMOND,0.03340165114207804,7,209.5704781247082
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.176,DRIK DRIK,0.010271214682770877,4,389.43787307938106
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.177,CHETWYND,0.027424631329936562,6,218.78142782726988
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.178,POWERS CREEK,0.012203648523308627,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.179,BRIT BRIT,0.009007829742990673,1,111.01453163878205
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.180,LAKE MUNDI,0.040846459058454486,3,73.44577887906428
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.181,BALLAPUR,0.007524566230499079,1,132.8980261940858
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.182,CHANDLERS CREEK,0.03977594718223115,2,50.281643598255954
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.183,HARROW,0.038912746847545414,9,231.28667927917593
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.184,GENOA,0.0387084339192263,8,206.6733057889598
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.185,HEATH HILL,0.0027094175364129514,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.186,ATHLONE,0.002974933121034577,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.187,DRUMBORG,0.023917722278413357,1,41.81000131866811
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.188,HOPETOUN,0.09108600655668156,21,230.55133048271242
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.189,YANDOIT HILLS,0.0009115460476451593,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.190,CHINKAPOOK,0.02051314544637126,4,194.99691114936218
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.191,WHITTINGTON,0.00016049183339183565,1,6230.846634785037
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.192,JUNCTION VILLAGE,0.0001460030307245861,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.193,GLENPATRICK,0.001985029397351191,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.194,SUTTON,0.005858984429044475,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.195,WERRIBEE SOUTH,0.003778222881413605,24,6352.192751270541
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.196,KEILOR,0.0010457339589888702,5,4781.330812699767
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.197,YANDOIT,0.0034073401910942576,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.198,WINCHELSEA SOUTH,0.003989343172672045,2,501.33566189554165
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.199,TUNGAMAH,0.01904373148234609,7,367.5750210240643
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.200,WOODGLEN,0.001042918467172532,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.201,EAGLE POINT,0.0019309820587475623,3,1553.6136063044544
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.202,NEWCOMB,0.0003686792190411199,8,21699.080357191862
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.779,PARK ORCHARDS,0.0009694368818435153,5,5157.6333577198175
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.1662,COOMBOONA,0.0050514300731722426,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.2229,KOONDROOK,0.005892722992347558,8,1357.606663403151
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.203,YANAKIE,0.009410149413851245,3,318.80471478849825
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.204,GHERANG,0.002976028965010654,2,672.0364699114547
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.2230,COHUNA,0.016076678926226738,21,1306.2399327849726
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.2231,BURKES BRIDGE,0.0031677157890135786,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.205,POREPUNKAH,0.007250123587235808,3,413.78604983805303
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.206,ALBACUTYA,0.009585720566923635,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.207,SOUTH DUDLEY,0.000156452906518934,1,6391.699727732317
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.208,DALYSTON,0.002560287310294887,5,1952.9058242389654
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.209,WEST CREEK,0.0019804216568929207,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.210,ROSEBROOK,0.0009283787197047008,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.254,IRREWILLIPE EAST,0.004424676980270918,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.255,ROSEBUD,0.001767783726018602,26,14707.6814982097
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.211,WEDDERBURN,0.02075655497718342,14,674.4857234444471
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.213,BULDAH,0.022447338867654848,0,0.0
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.256,COCOROC,0.006673963693659751,18,2697.0479352622124
