SITE_ID,LATITUDE,LONGITUDE,NAME,STATE,LICENSING_AREA_ID,POSTCODE,SITE_PRECISION,ELEVATION,HCIS_L2
304970,-37.821399,144.790723,Telstra Site Goodwin Freight Services 14 Gilbertson Rd LAVERTON NORTH,VIC,2,3026,Within 10 metres,,KX3P
304971,-37.823557,144.933371,Telstra Site Ingles St PORT MELBOURNE,VIC,2,3207,Within 10 metres,,KX3P
304972,-37.824027,144.962897,Telstra Site cnr Power St & City Rd SOUTHBANK,VIC,2,3205,Within 10 metres,,KX3P
304973,-37.824128,144.98448,Telstra Site Yarra Park MELBOURNE,VIC,2,3002,Within 10 metres,,KX3P
304974,-37.82308,144.9703,Telstra Site cnr St Kilda Rd & Linlithgow Ave MELBOURNE,VIC,2,3004,Within 10 metres,,KX3P
304975,-37.822332,144.948288,Telstra Site near North Wharf & Charles Grimes Bridge Rds WEST MELBOURNE,VIC,2,3000,Within 10 metres,,KX3P
304976,-37.819194,145.122076,MDF Room U/G Carpark Box Hill Central Plaza Station St BOX HILL,VIC,2,3128,Within 10 metres,,LX1M
304978,-37.822162,144.985442,Telstra Site Brunton Rd & MCG Gate 7 MELBOURNE,VIC,2,3002,Within 10 metres,,KX3P
304979,-37.8217,144.974322,Telstra Site cnr Alexandra Ave & Linlithgow Ave MELBOURNE,VIC,2,3004,Within 10 metres,,KX3P
304980,-37.821256,144.953771,Telstra Site cnr Flinders St & Footscray Rd MELBOURNE,VIC,2,3000,Within 10 metres,,KX3P
304981,-37.821013,144.976272,Telstra Site cnr Exhibition St & Batman Ave MELBOURNE,VIC,2,3002,Within 10 metres,,KX3P
304982,-37.818293,144.959647,459 Collins Street MELBOURNE,VIC,2,3000,Within 10 metres,,KX3P
304983,-37.818356,144.978957,Telstra Site cnr Jolimont Rd & Brunton Ave EAST MELBOURNE,VIC,2,3002,Within 10 metres,,KX3P
304984,-37.817999,144.968743,Telstra Site Federation Square cnr Flinders St & St Kilda Rd MELBOURNE,VIC,2,3000,Within 10 metres,,KX3P
304985,-37.817655,144.990677,Telstra Site NE cnr Bridge Rd & Hoddle St RICHMOND,VIC,2,3121,Within 10 metres,,KX3P
304986,-37.81565,144.973579,Telstra Site 32-42 Flinders St MELBOURNE,VIC,2,3000,Within 10 metres,,KX3P
304987,-37.814917,144.957241,Telstra Site Lt Bourke Street b/n King & William Sts MELBOURNE,VIC,2,3000,Within 10 metres,,KX3P
304988,-37.811885,144.86259,Telstra Site 8 Cromwell Pde BROOKLYN,VIC,2,3012,Within 10 metres,,KX3P
304990,-37.813639,144.966704,Telstra Site Bourke St MELBOURNE,VIC,2,3000,Within 10 metres,,KX3P
304991,-37.813468,144.962052,Telstra Site Lt Bourke Street b/n Queen & Elizabeth Sts MELBOURNE,VIC,2,3000,Within 10 metres,,KX3P
